,Unnamed: 0,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
391,0,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - harman/kardon",Wireless Multi-Channel Soundbar,CITATION 1110,,52161547,KJ,,
392,1,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - harman/kardon",Wireless Multi-Channel Soundbar,ENCHANT 1100,,52161547,KJ,,
393,2,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - harman/kardon",Wireless Subwoofer,ENCHANT SUB,,52161547,KJ,,
394,3,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - harman/kardon",Wireless Multi-Channel Soundbar,ENCHANT 900,,52161547,KJ,,
395,4,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - harman/kardon",Wireless Speaker,ENCHANT SPEAKER,,52161547,KJ,,
396,9,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Multi-Channel Soundbar,BAR 300,,52161547,KJ,,
397,10,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Multi-Channel Soundbar with wireless subwoofer,BAR 500,,52161547,KJ,,
398,12,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Multi-Channel Soundbar with wireless subwoofer,BAR 800,,52161547,KJ,,
399,14,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Multi-Channel Soundbar with wireless subwoofer,BAR 1000,,52161547,KJ,,
400,18,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Bluetooth Speaker,PARTYBOX310,,52161547,KJ,,
401,19,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Bluetooth Speaker,PARTYBOX710,,52161547,KJ,,
402,21,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Multi-Channel Soundbar with wireless subwoofer,Soundbar: BAR 1300X,,52161547,KJ,,
403,23,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Multi-Channel Soundbar with wireless subwoofer,Soundbar: BAR 1300,,52161547,KJ,,
404,25,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Multi-Channel Soundbar with wireless subwoofer,BAR 700,,52161547,KJ,,
405,29,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Wireless Speaker,PARTYBOX ULTIMATE,,52161547,KJ,,
406,30,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Wireless Speaker,Authentics 300,,52161547,KJ,,
407,31,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Wireless Speaker,Authentics 200,,52161547,KJ,,
408,32,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Wireless Speaker,Authentics 500,,52161547,KJ,,
409,33,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - JBL",Bluetooth Speaker,PARTYBOX OTG Essential,,52161547,KJ,,
410,53,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - harman/kardon",Wireless Speaker,CITATION 110,,52161547,KJ,,
411,156,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-T650,HW-T650,"HW-T60C,HW-T60C,; HW-T60M,HW-T60M,; HW-T60MV,HW-T60MV,; HW-T630,HW-T630,; HW-T660,HW-T660,",52161547,KJ,,
412,157,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-T550,HW-T550,"HW-T45C,HW-T45C,; HW-T50C,HW-T50C,; HW-T50M,HW-T50M,; HW-T510,HW-T510,; HW-T530,HW-T530,; HW-T540,HW-T540,; HW-T555,HW-T555,; HW-T560,HW-T560,",52161547,KJ,,
413,158,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-T450,HW-T450,"HW-T40M,HW-T40M,; HW-T410,HW-T410,; HW-T415,HW-T415,; HW-T430,HW-T430,; HW-T440,HW-T440,; HW-T45E,HW-T45E,; HW-T460,HW-T460,; HW-T470,HW-T470,; HW-T47M,HW-T47M,",52161547,KJ,,
414,159,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q60T,HW-Q60T,"HW-Q59CT,HW-Q59CT,; HW-Q65T,HW-Q65T,; HW-Q66T,HW-Q66T,; HW-Q67CT,HW-Q67CT,; HW-Q6CT,HW-Q6CT,; HW-Q6CTV,HW-Q6CTV,",52161547,KJ,,
415,160,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",SWA-W500,SWA-W500,,52161547,KJ,,
416,161,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S60T,HW-S60T,"HW-S61T,HW-S61T,; HW-S66T,HW-S66T,; HW-S67T,HW-S67T,",52161547,KJ,,
417,162,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q70T,HW-Q70T,"HW-Q76T,HW-Q76T,",52161547,KJ,,
418,163,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q800T,HW-Q800T,"HW-Q850T,HW-Q850T,",52161547,KJ,,
419,164,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-T420,HW-T420,,52161547,KJ,,
420,165,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S40T,HW-S40T,"HW-S41T,HW-S41T,; HW-S46T,HW-S46T,; HW-S47T,HW-S47T,; HW-T40,HW-T40,",52161547,KJ,,
421,167,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-A450,HW-A450,"HW-A40M,HW-A40M,; HW-A430,HW-A430,; HW-A440,HW-A440,; HW-A445,HW-A445,; HW-A455,HW-A455,; HW-A45E,HW-A45E,; HW-A460,HW-A460,; HW-A470,HW-A470,; HW-A47M,HW-A47M,",52161547,KJ,,
422,168,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-A550,HW-A550,"HW-A45C,HW-A45C,; HW-A50C,HW-A50C,; HW-A50M,HW-A50M,; HW-A530,HW-A530,; HW-A540,HW-A540,; HW-A555,HW-A555,; HW-A560,HW-A560,",52161547,KJ,,
423,169,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-A650,HW-A650,"HW-A55C,HW-A55C,; HW-A58C,HW-A58C,; HW-A60M,HW-A60M,; HW-A660,HW-A660,; HW-A670,HW-A670,; HW-A67E,HW-A67E,",52161547,KJ,,
424,170,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q600A,HW-Q600A,"HW-Q610A,HW-Q610A,; HW-Q630A,HW-Q630A,; HW-Q6EA,HW-Q6EA,",52161547,KJ,,
425,171,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S50A,HW-S50A,"HW-S56A,HW-S56A,",52161547,KJ,,
426,172,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S60D,HW-S60D,"HW-B660D,HW-B660D,Same as basic model except model designation; HW-S61D,HW-S61D,Same as basic model except model designation; HW-S66GD,HW-S66GD,Same as basic model except model designation; HW-S67D,HW-S67D,Same as basic model except model designation; HW-S67GD,HW-S67GD,Same as basic model except model designation",52161547,KJ,,
427,173,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S700D,HW-S700D,"HW-S701D,HW-S701D,Same as basic model except model designation; HW-S710D,HW-S710D,Same as basic model except model designation; HW-S710GD,HW-S710GD,Same as basic model except model designation; HW-S711D,HW-S711D,Same as basic model except model designation; HW-S711GD,HW-S711GD,Same as basic model except model designation; HW-S720D,HW-S720D,Same as basic model except model designation; HW-S721D,HW-S721D,Same as basic model except model designation",52161547,KJ,,
428,174,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S800D,HW-S800D,"HW-S801D,HW-S801D,Same as basic model except model designation; HW-S810D,HW-S810D,Same as basic model except model designation; HW-S810GD,HW-S810GD,Same as basic model except model designation; HW-S811D,HW-S811D,Same as basic model except model designation; HW-S811GD,HW-S811GD,Same as basic model except model designation",52161547,KJ,,
429,175,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-B550D,HW-B550D,"HW-B650D,HW-B650D,Same as basic model except model designation; HW-B660D,HW-B660D,Same as basic model except model designation; HW-B660GD,HW-B660GD,Same as basic model except model designation",52161547,KJ,,
430,176,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-B750D,HW-B750D,"HW-B73CD,HW-B73CD,Same as basic model except model designation; HW-B73MD,HW-B73MD,Same as basic model except model designation; HW-B760D,HW-B760D,Same as basic model except model designation; HW-B760GD,HW-B760GD,Same as basic model except model designation",52161547,KJ,,
431,181,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,Zound Industries AB - Marshall,WOBURN III,WOBURN III,,52161547,KJ,,
432,186,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q600B,HW-Q600B,"HW-Q605B,HW-Q605B,; HW-Q610B,HW-Q610B,; HW-Q630B,HW-Q630B,",52161547,KJ,,
433,187,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q60B,HW-Q60B,"HW-Q63B,HW-Q63B,; HW-Q64B,HW-Q64B,; HW-Q66B,HW-Q66B,; HW-Q67B,HW-Q67B,; HW-Q67CB,HW-Q67CB,; HW-Q6CB,HW-Q6CB,; HW-Q6MB,HW-Q6MB,",52161547,KJ,,
434,188,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-B550,HW-B550,"HW-B530,HW-B530,; HW-B53C,HW-B53C,; HW-B53M,HW-B53M,; HW-B540,HW-B540,; HW-B555,HW-B555,; HW-B55E,HW-B55E,; HW-B560,HW-B560,; HW-B57C,HW-B57C,",52161547,KJ,,
435,189,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-B650,HW-B650,"HW-B63C,HW-B63C,; HW-B63M,HW-B63M,; HW-B660,HW-B660,; HW-B670,HW-B670,; HW-B67C,HW-B67C,; HW-B67E,HW-B67E,",52161547,KJ,,
436,190,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S50B,HW-S50B,"HW-S55B,HW-S55B,; HW-S56B,HW-S56B,",52161547,KJ,,
437,191,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-B450,HW-B450,"HW-B430,HW-B430,Same as basic model except model designation; HW-B43C,HW-B43C,Same as basic model except model designation; HW-B43M,HW-B43M,Same as basic model except model designation; HW-B440,HW-B440,Same as basic model except model designation; HW-B455,HW-B455,Same as basic model except model designation; HW-B45E,HW-B45E,Same as basic model except model designation; HW-B460,HW-B460,Same as basic model except model designation; HW-B47M,HW-B47M,Same as basic model except model designation",52161547,KJ,,
438,193,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",MX-ST40B,MX-ST40B,"MX-B40,MX-B40,Same as basic model except model designation; MX-B4C,MX-B4C,Same as basic model except model designation; MX-ST45B,MX-ST45B,Same as basic model except model designation; MX-ST4CB,MX-ST4CB,Same as basic model except model designation",52161547,KJ,,
439,194,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",MX-ST90B,MX-ST90B,"MX-B70,MX-B70,; MX-ST70B,MX-ST70B,",52161547,KJ,,
440,195,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q600C,HW-Q600C,"HW-Q605C,HW-Q605C,Same as basic model except model designation; HW-Q60CC,HW-Q60CC,Same as basic model except model designation; HW-Q610C,HW-Q610C,Same as basic model except model designation; HW-Q610GC,HW-Q610GC,Same as basic model except model designation; HW-Q630C,HW-Q630C,Same as basic model except model designation",52161547,KJ,,
441,196,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q60C,HW-Q60C,"HW-Q64C,HW-Q64C,Same as basic model except model designation; HW-Q64GC,HW-Q64GC,Same as basic model except model designation; HW-Q65C,HW-Q65C,Same as basic model except model designation; HW-Q67C,HW-Q67C,Same as basic model except model designation; HW-Q6CC,HW-Q6CC,Same as basic model except model designation",52161547,KJ,,
442,197,Non-compliant,1.1 to 2 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-C450,HW-C450,"HW-C430,HW-C430,Same as basic model except model designation; HW-C43C,HW-C43C,Same as basic model except model designation; HW-C43M,HW-C43M,Same as basic model except model designation; HW-C440,HW-C440,Same as basic model except model designation; HW-C440G,HW-C440G,Same as basic model except model designation; HW-C445,HW-C445,Same as basic model except model designation; HW-C45E,HW-C45E,Same as basic model except model designation; HW-C460,HW-C460,Same as basic model except model designation; HW-C460G,HW-C460G,Same as basic model except model designation; HW-C47C,HW-C47C,Same as basic model except model designation; HW-C47M,HW-C47M,Same as basic model except model designation",52161547,KJ,,
443,292,Non-compliant,1.1 to 2 W,Audio Video Equipment - Compact/Shelf Audio System,Amazon.com Services LLC - Amazon,C2N6L4,C2N6L4,,52161510,KJ,,
444,338,Non-compliant,1.1 to 2 W,Audio Video Equipment - Home Theater AV Receiver,"Roku, Inc. - Roku",9301X,9301X,,52161510,KJ,,
445,294,Non-compliant,1.1 to 2 W,Audio Video Equipment - Other,Amazon.com Services LLC - Amazon,Echo Dot,C4E8S3,,52161500,KJ,,
446,316,Non-compliant,1.1 to 2 W,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",S95Q**,S95Q**,",,(""*""= 0-9, A-Z or blank according to color or enclosure of product); S90Q**,S90Q**,(""*""= 0-9, A-Z or blank according to color or enclosure of product)",52161560,KJ,,
447,319,Non-compliant,1.1 to 2 W,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",S80Q**,S80Q**,",,""*""= 0-9, A-Z or blank according to color or enclosure of product; S80TR,S80TR,S80Q** is identical to S80TR except for model designation",52161560,KJ,,
448,323,Non-compliant,1.1 to 2 W,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",SC9S,SC9S,"SC9S**,SC9S**,The * in the model name can be A to Z, 0 to 9 or blank denoting color and external design not related with energy efficiency.",52161560,KJ,,
449,324,Non-compliant,1.1 to 2 W,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",SE6S,SE6S,"SE6S**,SE6S**,The * in the model name can be A to Z, 0 to 9 or blank denoting color and external design not related with energy efficiency.",52161560,KJ,,
450,332,Non-compliant,1.1 to 2 W,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",SG10T**,SG10T**,",,The * in the model name can be A to Z, 0 to 9 or blank denoting color and external design not related with energy efficiency",52161560,KJ,,
451,210,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Full Spectrum,CLOUD ELECTRONICS LIMITED - Cloud,MA 40E,MA 40E,,52161547,KJ,,
452,244,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - Extron,NetPA U 1004,NetPA U 1004,,52161547,KJ,,
453,246,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - Extron,NetPA U 1004-100V,NetPA U 1004-100V,,52161547,KJ,,
454,52,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,Extron Electronics - Extron,NetPA U 8001 SUB,NetPA U 8001 SUB,,52161547,KJ,,
455,55,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Harman International Industries, Incorporated - harman/kardon",VIRTUO,VIRTUO,,52161547,KJ,,
456,64,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,Polk Audio - Polk,Sound Bar System,MAGNIFI MINI SOUND BAR,,52161547,KJ,,
457,65,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,Polk Audio - Polk,Sound Bar System,MAGNIFI MINI SUBWOOFER,,52161547,KJ,,
458,88,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-N450,HW-N450,"HW-N4##,HW-N4##,; HW-N400,HW-N400,; HW-NM4##,HW-NM4##,; HW-NM45C,HW-NM45C,",52161547,KJ,,
459,89,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-N650,HW-N650,"HW-MN6##,HW-MN6##,; HW-N6##,HW-N6##,; HW-NM65C,HW-NM65C,",52161547,KJ,,
460,90,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-N550,HW-N550,"HW-N5##,HW-N5##,; HW-NM5##,HW-NM5##,",52161547,KJ,,
461,92,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q60R,HW-Q60R,"HW-Q6##,HW-Q6##,; HW-Q650R,HW-Q650R,; HW-Q6CR,HW-Q6CR,; HW-Q6CRV,HW-Q6CRV,",52161547,KJ,,
462,93,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-R650,HW-R650,"HW-R60#,HW-R60#,; HW-R600,HW-R600,; HW-R60C,HW-R60C,; HW-R60M,HW-R60M,; HW-R60MV,HW-R60MV,; HW-R630,HW-R630,; HW-R660,HW-R660,",52161547,KJ,,
463,94,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-R550,HW-R550,"HW-R50#,HW-R50#,; HW-R500,HW-R500,; HW-R50C,HW-R50C,; HW-R50M,HW-R50M,; HW-R530,HW-R530,; HW-R540,HW-R540,; HW-R560,HW-R560,",52161547,KJ,,
464,154,Non-compliant,2.1 to 3 W,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-R450,HW-R450,"HW-R40#,HW-R40#,; HW-R400,HW-R400,; HW-R40C,HW-R40C,; HW-R40M,HW-R40M,; HW-R430,HW-R430,; HW-R460,HW-R460,; HW-R470,HW-R470,; HW-R47M,HW-R47M,; HW-R480,HW-R480,",52161547,KJ,,
465,334,Non-compliant,2.1 to 3 W,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",G1**,G1**,",,The * in the model name can be A to Z, 0 to 9 or blank denoting color and external design not related with energy efficiency.",52161560,KJ,,
466,226,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - Extron,PVS 407D,PVS 407D,,52161547,KJ,,
467,245,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - Extron,NetPA U 1004-70V,NetPA U 1004-70V,,52161547,KJ,,
468,281,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Full Spectrum,Polk Audio - Polk,MAGNIFI MAX SR SYSTEM,MAGNIFI MAX SOUND BAR,,52161547,KJ,,
469,305,Non-compliant,3.1 W or greater,"Audio Video Equipment - Audio Amplifier - Full Spectrum,Audio Amplifier - Limited Bandwidth","Crestron Electronics, Inc. - Crestron",DM-NAX-AMP-X300,M1845006,,52161547,KJ,,
470,91,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q70R,HW-Q70R,"HW-Q750R,HW-Q750R,; HW-Q76R,HW-Q76R,; HW-Q7CR,HW-Q7CR,",52161547,KJ,,
471,155,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q80R,HW-Q80R,"HW-Q8##R,HW-Q8##R,; HW-Q8#R,HW-Q8#R,; HW-Q9##R,HW-Q9##R,; HW-Q9#R,HW-Q9#R,; HW-Q90R,HW-Q90R,",52161547,KJ,,
472,166,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-Q950T,HW-Q950T,"HW-Q900T,HW-Q900T,",52161547,KJ,,
473,178,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - SAMSUNG harman/kardon",HW-N950,HW-N950,"HW-N9##,HW-N9##,",52161547,KJ,,
474,179,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - SAMSUNG harman/kardon",HW-N850,HW-N850,"HW-N8##,HW-N8##,",52161547,KJ,,
475,183,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S60B,HW-S60B,"HW-S61B,HW-S61B,; HW-S66B,HW-S66B,; HW-S67B,HW-S67B,; HW-S68B,HW-S68B,",52161547,KJ,,
476,184,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S800B,HW-S800B,"HW-S80CB,HW-S80CB,Same as basic model except model designation; HW-S810B,HW-S810B,Same as basic model except model designation",52161547,KJ,,
477,185,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S801B,HW-S801B,"HW-S811B,HW-S811B,",52161547,KJ,,
478,198,Non-compliant,3.1 W or greater,Audio Video Equipment - Audio Amplifier - Limited Bandwidth,"Samsung Electronics Co., Ltd. - Samsung",HW-S68CB,HW-S68CB,,52161547,KJ,,
479,327,Non-compliant,3.1 W or greater,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",S70T**,S70T**,",,The * in the model name can be A to Z, 0 to 9 or blank denoting color and external design not related with energy efficiency",52161560,KJ,,
480,333,Non-compliant,3.1 W or greater,Audio Video Equipment - Soundbar,"LG Electronics, Inc. - LG",*SP9**,*SP9**,",,The ""*"" in the model name can be A to Z, 0 to 9 or blank denoting color and external design not related with energy efficiency",52161560,KJ,,
481,88,Compliant,0 to 1 W,"Telephones - Conference, Analog","VTech Telecommunications, Ltd. - Clarity",XLCgo,XLCgo,",XLC8-GO CB,charger cradle; ,XLC8-GO HS2,speaker unit; ,XLCgo HS,speaker unit; ,XLCgo,charger cradle",43191515,-,,
482,11,Compliant,0 to 1 W,"Telephones - Corded, Analog","VTech Telecommunications, Ltd. - AT&T",CL84107,CL84107,",CL84#*7,# cordless HS +1 corded HS +1 BS(W/ ITAD) +# chargers; ,CL84107,1 cordless HS +1 corded HS +1 BS(W/ ITAD) +1 charger; ,CL84207,2 cordless HS +1 corded HS +1 BS(W/ ITAD) +2 chargers; ,CL84257,2 cordless HS +1 corded HS +1 BS(W/ ITAD) +2 chargers; ,CL84307,3 cordless HS +1 corded HS +1 BS(W/ ITAD) +3 chargers; ,CL84357,3 cordless HS +1 corded HS +1 BS(W/ ITAD) +3 chargers",43191509,-,,
483,12,Compliant,0 to 1 W,"Telephones - Corded, Analog","VTech Telecommunications, Ltd. - AT&T","CL84115,CL84215,CL84265,CL84365,CL84XY5","CL84115,CL84215,CL84265,CL84365,CL84XY5",",CL84115,CL84215,CL84265,CL84365,CL84XY5,1HS+1BS(W/ ITAD)+1charger",43191509,-,,
484,13,Compliant,0 to 1 W,"Telephones - Corded, Analog","VTech Telecommunications, Ltd. - AT&T",DECT 6.0 cordless telephone,"CL84207,CL84107, CL84257, CL84307, CL84357,CL84#*7, CL84#*7, CL80107, CL80117, CL801#7",,43191509,-,,
485,14,Compliant,0 to 1 W,"Telephones - Corded, Analog","VTech Telecommunications, Ltd. - AT&T",DECT 6.0 Cordless Phone,"CS5249, CS524*-#*, CS524*-##, CS524#-#*, CS524#-##","DECT 6.0 cordless telephone,CS524*-#*, CS524*-##, CS524#-#*, CS524#-##,",43191509,-,,
486,37,Compliant,0 to 1 W,"Telephones - Corded, Analog",Clarity Products LLC - Clarity,Telephone,ALTO PLUS,,43191509,-,,
